Infinitive,равня́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,равня́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,равня́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,равня́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,равня́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,равня́юсь
2nd Sing,равня́ешься
3rd Sing,равня́ется
1st Pl,равня́емся
2nd Pl,равня́етесь
3rd Pl,равня́ются
Past M,равня́лся
Past F,равня́лась
Past N,равня́лось
Past PL,равня́лись
Imp S,равня́йся
Imp PL,равня́йтесь
