Infinitive,разбогате́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,разбогате́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разбогате́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,разбогате́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,разбогате́ю
2nd Sing,разбогате́ешь
3rd Sing,разбогате́ет
1st Pl,разбогате́ем
2nd Pl,разбогате́ете
3rd Pl,разбогате́ют
Past M,разбогате́л
Past F,разбогате́ла
Past N,разбогате́ло
Past PL,разбогате́ли
Imp S,разбогате́й
Imp PL,разбогате́йте
