Infinitive,расстели́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,расстели́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,рассте́ленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,расстели́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,расстели́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,расстелю́
2nd Sing,рассте́лешь
3rd Sing,рассте́лет
1st Pl,рассте́лем
2nd Pl,рассте́лете
3rd Pl,рассте́лют
Past M,расстели́л
Past F,расстели́ла
Past N,расстели́ло
Past PL,расстели́ли
Imp S,расстели́
Imp PL,расстели́те
