Infinitive,расстила́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,расстила́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,расстила́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,расстила́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,расстила́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,расстила́юсь
2nd Sing,расстила́ешься
3rd Sing,расстила́ется
1st Pl,расстила́емся
2nd Pl,расстила́етесь
3rd Pl,расстила́ются
Past M,расстила́лся
Past F,расстила́лась
Past N,расстила́лось
Past PL,расстила́лись
Imp S,расстила́йся
Imp PL,расстила́йтесь
