Infinitive,разража́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разража́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,разража́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разража́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,разража́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разража́юсь
2nd Sing,разража́ешься
3rd Sing,разража́ется
1st Pl,разража́емся
2nd Pl,разража́етесь
3rd Pl,разража́ются
Past M,разража́лся
Past F,разража́лась
Past N,разража́лось
Past PL,разража́лись
Imp S,разража́йся
Imp PL,разража́йтесь
