Infinitive,раздава́ться
Zaliznyak Class,13b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,раздаю́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,раздава́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,раздава́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,раздава́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,раздаю́сь
2nd Sing,раздаёшься
3rd Sing,раздаётся
1st Pl,раздаёмся
2nd Pl,раздаётесь
3rd Pl,раздаю́тся
Past M,раздава́лся
Past F,раздава́лась
Past N,раздава́лось
Past PL,раздава́лись
Imp S,раздава́йся
Imp PL,раздава́йтесь
