Infinitive,раскача́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,раскача́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,раска́чанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,раскача́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,раскача́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,раскача́ю
2nd Sing,раскача́ешь
3rd Sing,раскача́ет
1st Pl,раскача́ем
2nd Pl,раскача́ете
3rd Pl,раскача́ют
Past M,раскача́л
Past F,раскача́ла
Past N,раскача́ло
Past PL,раскача́ли
Imp S,раскача́й
Imp PL,раскача́йте
