Infinitive,раздели́ть
Zaliznyak Class,4c⑦
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,раздели́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разделённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,раздели́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,раздели́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разделю́
2nd Sing,разде́лишь
3rd Sing,разде́лит
1st Pl,разде́лим
2nd Pl,разде́лите
3rd Pl,разде́лят
Past M,раздели́л
Past F,раздели́ла
Past N,раздели́ло
Past PL,раздели́ли
Imp S,раздели́
Imp PL,раздели́те
