Infinitive,раста́скивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,раста́скивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,раста́скивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,раста́скиваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,раста́скивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,раста́скивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,раста́скивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,раста́скиваю
2nd Sing,раста́скиваешь
3rd Sing,раста́скивает
1st Pl,раста́скиваем
2nd Pl,раста́скиваете
3rd Pl,раста́скивают
Past M,раста́скивал
Past F,раста́скивала
Past N,раста́скивало
Past PL,раста́скивали
Imp S,раста́скивай
Imp PL,раста́скивайте
