Infinitive,распра́виться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,распра́вившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,распра́вившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,распра́влюсь
2nd Sing,распра́вишься
3rd Sing,распра́вится
1st Pl,распра́вимся
2nd Pl,распра́витесь
3rd Pl,распра́вятся
Past M,распра́вился
Past F,распра́вилась
Past N,распра́вилось
Past PL,распра́вились
Imp S,распра́вься
Imp PL,распра́вьтесь
