Infinitive,расщепи́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,расщепи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,расщеплённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,расщепи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,расщепи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,расщеплю́
2nd Sing,расщепи́шь
3rd Sing,расщепи́т
1st Pl,расщепи́м
2nd Pl,расщепи́те
3rd Pl,расщепя́т
Past M,расщепи́л
Past F,расщепи́ла
Past N,расщепи́ло
Past PL,расщепи́ли
Imp S,расщепи́
Imp PL,расщепи́те
