Infinitive,разобра́ть
Zaliznyak Class,6°b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разобра́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разо́бранный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разобра́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разобра́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разберу́
2nd Sing,разберёшь
3rd Sing,разберёт
1st Pl,разберём
2nd Pl,разберёте
3rd Pl,разберу́т
Past M,разобра́л
Past F,разобрала́
Past N,разобра́ло
Past PL,разобра́ли
Imp S,разбери́
Imp PL,разбери́те
