Infinitive,раскоше́литься
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,раскоше́лившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,раскоше́лившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,раскоше́люсь
2nd Sing,раскоше́лишься
3rd Sing,раскоше́лится
1st Pl,раскоше́лимся
2nd Pl,раскоше́литесь
3rd Pl,раскоше́лятся
Past M,раскоше́лился
Past F,раскоше́лилась
Past N,раскоше́лилось
Past PL,раскоше́лились
Imp S,раскоше́лься
Imp PL,раскоше́льтесь
