Infinitive,расти́
Zaliznyak Class,7b/b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,расту́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ро́сший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,растя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ро́сши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,расту́
2nd Sing,растёшь
3rd Sing,растёт
1st Pl,растём
2nd Pl,растёте
3rd Pl,расту́т
Past M,ро́с
Past F,росла́
Past N,росло́
Past PL,росли́
Imp S,расти́rastí
Imp PL,расти́те
