Infinitive,разостла́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разостла́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разо́стланный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разостла́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разостла́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,расстелю́
2nd Sing,рассте́лешь
3rd Sing,рассте́лет
1st Pl,рассте́лем
2nd Pl,рассте́лете
3rd Pl,рассте́лют
Past M,разостла́л
Past F,разостла́ла
Past N,разостла́ло
Past PL,разостла́ли
Imp S,расстели́
Imp PL,расстели́те
