Infinitive,расста́ться
Zaliznyak Class,15a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,расста́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,расста́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,расста́нусь
2nd Sing,расста́нешься
3rd Sing,расста́нется
1st Pl,расста́немся
2nd Pl,расста́нетесь
3rd Pl,расста́нутся
Past M,расста́лся
Past F,расста́лась
Past N,расста́лось
Past PL,расста́лись
Imp S,расста́нься
Imp PL,расста́ньтесь
