Infinitive,разлюби́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разлюби́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разлю́бленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разлюби́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разлюби́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разлюблю́
2nd Sing,разлю́бишь
3rd Sing,разлю́бит
1st Pl,разлю́бим
2nd Pl,разлю́бите
3rd Pl,разлю́бят
Past M,разлюби́л
Past F,разлюби́ла
Past N,разлюби́ло
Past PL,разлюби́ли
Imp S,разлюби́
Imp PL,разлюби́те
