Infinitive,разряди́ть
Zaliznyak Class,4b // 4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разряди́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разряжённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,разря́женный
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,разряди́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,разряди́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,разряжу́
2nd Sing,разряди́шь
3rd Sing,разряди́т
1st Pl,разряди́м
2nd Pl,разряди́те
3rd Pl,разрядя́т
Past M,разряди́л
Past F,разряди́ла
Past N,разряди́ло
Past PL,разряди́ли
Imp S,разряди́
Imp PL,разряди́те
