Infinitive,растащи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,растащи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,раста́щенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,растащи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,растащи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,растащу́
2nd Sing,раста́щишь
3rd Sing,раста́щит
1st Pl,раста́щим
2nd Pl,раста́щите
3rd Pl,раста́щат
Past M,растащи́л
Past F,растащи́ла
Past N,растащи́ло
Past PL,растащи́ли
Imp S,растащи́
Imp PL,растащи́те
