Infinitive,разлага́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разлага́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,разлага́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разлага́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,разлага́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разлага́юсь
2nd Sing,разлага́ешься
3rd Sing,разлага́ется
1st Pl,разлага́емся
2nd Pl,разлага́етесь
3rd Pl,разлага́ются
Past M,разлага́лся
Past F,разлага́лась
Past N,разлага́лось
Past PL,разлага́лись
Imp S,разлага́йся
Imp PL,разлага́йтесь
