Infinitive,разучи́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разучи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разучи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,разучу́сь
2nd Sing,разу́чишься
3rd Sing,разу́чится
1st Pl,разу́чимся
2nd Pl,разу́читесь
3rd Pl,разу́чатся
Past M,разучи́лся
Past F,разучи́лась
Past N,разучи́лось
Past PL,разучи́лись
Imp S,разучи́сь
Imp PL,разучи́тесь
