Infinitive,раскула́чить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,раскула́чивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,раскула́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,раскула́чив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,раскула́чивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,раскула́чу
2nd Sing,раскула́чишь
3rd Sing,раскула́чит
1st Pl,раскула́чим
2nd Pl,раскула́чите
3rd Pl,раскула́чат
Past M,раскула́чил
Past F,раскула́чила
Past N,раскула́чило
Past PL,раскула́чили
Imp S,раскула́чь
Imp PL,раскула́чьте
