Infinitive,распла́чиваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,распла́чивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,распла́чивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,распла́чиваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,распла́чивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,распла́чиваюсь
2nd Sing,распла́чиваешься
3rd Sing,распла́чивается
1st Pl,распла́чиваемся
2nd Pl,распла́чиваетесь
3rd Pl,распла́чиваются
Past M,распла́чивался
Past F,распла́чивалась
Past N,распла́чивалось
Past PL,распла́чивались
Imp S,распла́чивайся
Imp PL,распла́чивайтесь
