Infinitive,растворя́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,растворя́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,растворя́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,растворя́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,растворя́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,растворя́юсь
2nd Sing,растворя́ешься
3rd Sing,растворя́ется
1st Pl,растворя́емся
2nd Pl,растворя́етесь
3rd Pl,растворя́ются
Past M,растворя́лся
Past F,растворя́лась
Past N,растворя́лось
Past PL,растворя́лись
Imp S,растворя́йся
Imp PL,растворя́йтесь
