Infinitive,размя́ть
Zaliznyak Class,14b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,размя́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,размя́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,размя́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,размя́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разомну́
2nd Sing,разомнёшь
3rd Sing,разомнёт
1st Pl,разомнём
2nd Pl,разомнёте
3rd Pl,разомну́т
Past M,размя́л
Past F,размя́ла
Past N,размя́ло
Past PL,размя́ли
Imp S,разомни́
Imp PL,разомни́те
