Infinitive,разоружи́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разоружи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разоружённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разоружи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разоружи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разоружу́
2nd Sing,разоружи́шь
3rd Sing,разоружи́т
1st Pl,разоружи́м
2nd Pl,разоружи́те
3rd Pl,разоружа́т
Past M,разоружи́л
Past F,разоружи́ла
Past N,разоружи́ло
Past PL,разоружи́ли
Imp S,разоружи́
Imp PL,разоружи́те
