Infinitive,разрабо́тать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разрабо́тавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разрабо́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разрабо́тав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разрабо́тавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разрабо́таю
2nd Sing,разрабо́таешь
3rd Sing,разрабо́тает
1st Pl,разрабо́таем
2nd Pl,разрабо́таете
3rd Pl,разрабо́тают
Past M,разрабо́тал
Past F,разрабо́тала
Past N,разрабо́тало
Past PL,разрабо́тали
Imp S,разрабо́тай
Imp PL,разрабо́тайте
