Infinitive,рабо́тать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,рабо́тающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,рабо́тавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,рабо́тая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,рабо́тав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,рабо́тавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,рабо́таю
2nd Sing,рабо́таешь
3rd Sing,рабо́тает
1st Pl,рабо́таем
2nd Pl,рабо́таете
3rd Pl,рабо́тают
Past M,рабо́тал
Past F,рабо́тала
Past N,рабо́тало
Past PL,рабо́тали
Imp S,рабо́тай
Imp PL,рабо́тайте
