Infinitive,разыгра́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разыгра́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разы́гранный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разыгра́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разыгра́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разыгра́ю
2nd Sing,разыгра́ешь
3rd Sing,разыгра́ет
1st Pl,разыгра́ем
2nd Pl,разыгра́ете
3rd Pl,разыгра́ют
Past M,разыгра́л
Past F,разыгра́ла
Past N,разыгра́ло
Past PL,разыгра́ли
Imp S,разыгра́й
Imp PL,разыгра́йте
