Infinitive,разочаро́вывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разочаро́вывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,разочаро́вывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разочаро́вываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,разочаро́вывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,разочаро́вывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,разочаро́вывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,разочаро́вываю
2nd Sing,разочаро́вываешь
3rd Sing,разочаро́вывает
1st Pl,разочаро́вываем
2nd Pl,разочаро́вываете
3rd Pl,разочаро́вывают
Past M,разочаро́вывал
Past F,разочаро́вывала
Past N,разочаро́вывало
Past PL,разочаро́вывали
Imp S,разочаро́вывай
Imp PL,разочаро́вывайте
