Infinitive,растра́тить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,растра́тивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,растра́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,растра́тив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,растра́тивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,растра́чу
2nd Sing,растра́тишь
3rd Sing,растра́тит
1st Pl,растра́тим
2nd Pl,растра́тите
3rd Pl,растра́тят
Past M,растра́тил
Past F,растра́тила
Past N,растра́тило
Past PL,растра́тили
Imp S,растра́ть
Imp PL,растра́тьте
