Infinitive,растяну́ться
Zaliznyak Class,3c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,растяну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,растяну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,растяну́сь
2nd Sing,растя́нешься
3rd Sing,растя́нется
1st Pl,растя́немся
2nd Pl,растя́нетесь
3rd Pl,растя́нутся
Past M,растяну́лся
Past F,растяну́лась
Past N,растяну́лось
Past PL,растяну́лись
Imp S,растяни́сь
Imp PL,растяни́тесь
