Infinitive,разоря́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разоря́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,разоря́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разоря́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,разоря́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разоря́юсь
2nd Sing,разоря́ешься
3rd Sing,разоря́ется
1st Pl,разоря́емся
2nd Pl,разоря́етесь
3rd Pl,разоря́ются
Past M,разоря́лся
Past F,разоря́лась
Past N,разоря́лось
Past PL,разоря́лись
Imp S,разоря́йся
Imp PL,разоря́йтесь
