Infinitive,расплеска́ть
Zaliznyak Class,6c // 1a(-ё-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,расплеска́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,расплёсканный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,расплеска́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,расплеска́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,расплещу́
2nd Sing,распле́щешь
3rd Sing,распле́щет
1st Pl,распле́щем
2nd Pl,распле́щете
3rd Pl,распле́щут
Past M,расплеска́л
Past F,расплеска́ла
Past N,расплеска́ло
Past PL,расплеска́ли
Imp S,расплещи́
Imp PL,расплещи́те
