Infinitive,развесели́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,развесели́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,развеселённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,развесели́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,развесели́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,развеселю́
2nd Sing,развесели́шь
3rd Sing,развесели́т
1st Pl,развесели́м
2nd Pl,развесели́те
3rd Pl,развеселя́т
Past M,развесели́л
Past F,развесели́ла
Past N,развесели́ло
Past PL,развесели́ли
Imp S,развесели́
Imp PL,развесели́те
