Infinitive,раста́пливать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,раста́пливающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,раста́пливавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,раста́пливаемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,раста́пливая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,раста́пливав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,раста́пливавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,раста́пливаю
2nd Sing,раста́пливаешь
3rd Sing,раста́пливает
1st Pl,раста́пливаем
2nd Pl,раста́пливаете
3rd Pl,раста́пливают
Past M,раста́пливал
Past F,раста́пливала
Past N,раста́пливало
Past PL,раста́пливали
Imp S,раста́пливай
Imp PL,раста́пливайте
