Infinitive,растере́ть
Zaliznyak Class,9*b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,растёрший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,растёртый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,растере́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,растёрши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разотру́
2nd Sing,разотрёшь
3rd Sing,разотрёт
1st Pl,разотрём
2nd Pl,разотрёте
3rd Pl,разотру́т
Past M,растёр
Past F,растёрла
Past N,растёрло
Past PL,растёрли
Imp S,разотри́
Imp PL,разотри́те
