Infinitive,разде́латься
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разде́лавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разде́лавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,разде́лаюсь
2nd Sing,разде́лаешься
3rd Sing,разде́лается
1st Pl,разде́лаемся
2nd Pl,разде́лаетесь
3rd Pl,разде́лаются
Past M,разде́лался
Past F,разде́лалась
Past N,разде́лалось
Past PL,разде́лались
Imp S,разде́лайся
Imp PL,разде́лайтесь
