Infinitive,рассе́иваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,рассе́ивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,рассе́ивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,рассе́иваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,рассе́ивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,рассе́иваюсь
2nd Sing,рассе́иваешься
3rd Sing,рассе́ивается
1st Pl,рассе́иваемся
2nd Pl,рассе́иваетесь
3rd Pl,рассе́иваются
Past M,рассе́ивался
Past F,рассе́ивалась
Past N,рассе́ивалось
Past PL,рассе́ивались
Imp S,рассе́ивайся
Imp PL,рассе́ивайтесь
