Infinitive,развора́чиваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,развора́чивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,развора́чивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,развора́чиваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,развора́чивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,развора́чиваюсь
2nd Sing,развора́чиваешься
3rd Sing,развора́чивается
1st Pl,развора́чиваемся
2nd Pl,развора́чиваетесь
3rd Pl,развора́чиваются
Past M,развора́чивался
Past F,развора́чивалась
Past N,развора́чивалось
Past PL,развора́чивались
Imp S,развора́чивайся
Imp PL,развора́чивайтесь
