Infinitive,разболта́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разболта́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разбо́лтанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разболта́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разболта́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разболта́ю
2nd Sing,разболта́ешь
3rd Sing,разболта́ет
1st Pl,разболта́ем
2nd Pl,разболта́ете
3rd Pl,разболта́ют
Past M,разболта́л
Past F,разболта́ла
Past N,разболта́ло
Past PL,разболта́ли
Imp S,разболта́й
Imp PL,разболта́йте
