Infinitive,раздвои́ть
Zaliznyak Class,4b[⑧]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,раздвои́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,раздвоённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,раздво́енный
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,раздвои́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,раздвои́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,раздвою́
2nd Sing,раздвои́шь
3rd Sing,раздвои́т
1st Pl,раздвои́м
2nd Pl,раздвои́те
3rd Pl,раздвоя́т
Past M,раздвои́л
Past F,раздвои́ла
Past N,раздвои́ло
Past PL,раздвои́ли
Imp S,раздвои́
Imp PL,раздвои́те
