Infinitive,раска́иваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,раска́ивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,раска́ивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,раска́иваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,раска́ивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,раска́иваюсь
2nd Sing,раска́иваешься
3rd Sing,раска́ивается
1st Pl,раска́иваемся
2nd Pl,раска́иваетесь
3rd Pl,раска́иваются
Past M,раска́ивался
Past F,раска́ивалась
Past N,раска́ивалось
Past PL,раска́ивались
Imp S,раска́ивайся
Imp PL,раска́ивайтесь
