Infinitive,разы́грываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разы́грывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,разы́грывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разы́грываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,разы́грывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разы́грываюсь
2nd Sing,разы́грываешься
3rd Sing,разы́грывается
1st Pl,разы́грываемся
2nd Pl,разы́грываетесь
3rd Pl,разы́грываются
Past M,разы́грывался
Past F,разы́грывалась
Past N,разы́грывалось
Past PL,разы́грывались
Imp S,разы́грывайся
Imp PL,разы́грывайтесь
