Infinitive,расстегну́ть
Zaliznyak Class,3b(-ё-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,расстегну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,расстёгнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,расстегну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,расстегну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,расстегну́
2nd Sing,расстегнёшь
3rd Sing,расстегнёт
1st Pl,расстегнём
2nd Pl,расстегнёте
3rd Pl,расстегну́т
Past M,расстегну́л
Past F,расстегну́ла
Past N,расстегну́ло
Past PL,расстегну́ли
Imp S,расстегни́
Imp PL,расстегни́те
