Infinitive,расхо́довать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,расхо́дующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,расхо́довавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,расхо́дуемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,расхо́дованный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,расхо́дуя
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,расхо́довав
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,расхо́довавши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,расхо́дую
2nd Sing,расхо́дуешь
3rd Sing,расхо́дует
1st Pl,расхо́дуем
2nd Pl,расхо́дуете
3rd Pl,расхо́дуют
Past M,расхо́довал
Past F,расхо́довала
Past N,расхо́довало
Past PL,расхо́довали
Imp S,расхо́дуй
Imp PL,расхо́дуйте
