Infinitive,развяза́ться
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,развяза́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,развяза́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,развяжу́сь
2nd Sing,развя́жешься
3rd Sing,развя́жется
1st Pl,развя́жемся
2nd Pl,развя́жетесь
3rd Pl,развя́жутся
Past M,развяза́лся
Past F,развяза́лась
Past N,развяза́лось
Past PL,развяза́лись
Imp S,развяжи́сь
Imp PL,развяжи́тесь
