Infinitive,разыгра́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разыгра́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разыгра́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,разыгра́юсь
2nd Sing,разыгра́ешься
3rd Sing,разыгра́ется
1st Pl,разыгра́емся
2nd Pl,разыгра́етесь
3rd Pl,разыгра́ются
Past M,разыгра́лся
Past F,разыгра́лась
Past N,разыгра́лось
Past PL,разыгра́лись
Imp S,разыгра́йся
Imp PL,разыгра́йтесь
