Infinitive,растеря́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,растеря́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,расте́рянный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,растеря́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,растеря́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,растеря́ю
2nd Sing,растеря́ешь
3rd Sing,растеря́ет
1st Pl,растеря́ем
2nd Pl,растеря́ете
3rd Pl,растеря́ют
Past M,растеря́л
Past F,растеря́ла
Past N,растеря́ло
Past PL,растеря́ли
Imp S,растеря́й
Imp PL,растеря́йте
