Infinitive,разбрести́сь
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разбре́дшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разбредя́сь
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,разбре́дшись
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,разбреду́сь
2nd Sing,разбредёшься
3rd Sing,разбредётся
1st Pl,разбредёмся
2nd Pl,разбредётесь
3rd Pl,разбреду́тся
Past M,разбрёлся
Past F,разбрела́сь
Past N,разбрело́сь
Past PL,разбрели́сь
Imp S,разбреди́сь
Imp PL,разбреди́тесь
