Infinitive,разжа́ловать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разжа́ловавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разжа́лованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разжа́ловав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разжа́ловавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разжа́лую
2nd Sing,разжа́луешь
3rd Sing,разжа́лует
1st Pl,разжа́луем
2nd Pl,разжа́луете
3rd Pl,разжа́луют
Past M,разжа́ловал
Past F,разжа́ловала
Past N,разжа́ловало
Past PL,разжа́ловали
Imp S,разжа́луй
Imp PL,разжа́луйте
