Infinitive,разори́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разори́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разори́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,разорю́сь
2nd Sing,разори́шься
3rd Sing,разори́тся
1st Pl,разори́мся
2nd Pl,разори́тесь
3rd Pl,разоря́тся
Past M,разори́лся
Past F,разори́лась
Past N,разори́лось
Past PL,разори́лись
Imp S,разори́сь
Imp PL,разори́тесь
