Infinitive,распа́сться
Zaliznyak Class,7b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,распа́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,распа́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,распаду́сь
2nd Sing,распадёшься
3rd Sing,распадётся
1st Pl,распадёмся
2nd Pl,распадётесь
3rd Pl,распаду́тся
Past M,распа́лся
Past F,распа́лась
Past N,распа́лось
Past PL,распа́лись
Imp S,распади́сь
Imp PL,распади́тесь
