Infinitive,раздобы́ть
Zaliznyak Class,irreg-a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,раздобы́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,раздобы́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,раздобы́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,раздобы́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,раздобу́ду
2nd Sing,раздобу́дешь
3rd Sing,раздобу́дет
1st Pl,раздобу́дем
2nd Pl,раздобу́дете
3rd Pl,раздобу́дут
Past M,раздобы́л
Past F,раздобы́ла
Past N,раздобы́ло
Past PL,раздобы́ли
Imp S,раздобу́дь
Imp PL,раздобу́дьте
