Infinitive,разогна́ться
Zaliznyak Class,5c/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разогна́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разогна́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,разгоню́сь
2nd Sing,разго́нишься
3rd Sing,разго́нится
1st Pl,разго́нимся
2nd Pl,разго́нитесь
3rd Pl,разго́нятся
Past M,разогна́лся
Past F,разогнала́сь
Past N,разогнало́сь
Past PL,разогнали́сь
Imp S,разгони́сь
Imp PL,разгони́тесь
