Infinitive,рассоса́ться
Zaliznyak Class,6°b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,рассоса́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,рассоса́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,рассосу́сь
2nd Sing,рассосёшься
3rd Sing,рассосётся
1st Pl,рассосёмся
2nd Pl,рассосётесь
3rd Pl,рассосу́тся
Past M,рассоса́лся
Past F,рассоса́лась
Past N,рассоса́лось
Past PL,рассоса́лись
Imp S,рассоси́сь
Imp PL,рассоси́тесь
