Infinitive,расшифрова́ть
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,расшифрова́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,расшифро́ванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,расшифрова́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,расшифрова́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,расшифру́ю
2nd Sing,расшифру́ешь
3rd Sing,расшифру́ет
1st Pl,расшифру́ем
2nd Pl,расшифру́ете
3rd Pl,расшифру́ют
Past M,расшифрова́л
Past F,расшифрова́ла
Past N,расшифрова́ло
Past PL,расшифрова́ли
Imp S,расшифру́й
Imp PL,расшифру́йте
