Infinitive,разоблачи́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разоблачи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разоблачённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разоблачи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разоблачи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разоблачу́
2nd Sing,разоблачи́шь
3rd Sing,разоблачи́т
1st Pl,разоблачи́м
2nd Pl,разоблачи́те
3rd Pl,разоблача́т
Past M,разоблачи́л
Past F,разоблачи́ла
Past N,разоблачи́ло
Past PL,разоблачи́ли
Imp S,разоблачи́
Imp PL,разоблачи́те
