Infinitive,растре́скаться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,растре́скавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,растре́скавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,растре́скаюсь
2nd Sing,растре́скаешься
3rd Sing,растре́скается
1st Pl,растре́скаемся
2nd Pl,растре́скаетесь
3rd Pl,растре́скаются
Past M,растре́скался
Past F,растре́скалась
Past N,растре́скалось
Past PL,растре́скались
Imp S,растре́скайся
Imp PL,растре́скайтесь
