Infinitive,рассе́ивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,рассе́ивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,рассе́ивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,рассе́иваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,рассе́ивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,рассе́ивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,рассе́ивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,рассе́иваю
2nd Sing,рассе́иваешь
3rd Sing,рассе́ивает
1st Pl,рассе́иваем
2nd Pl,рассе́иваете
3rd Pl,рассе́ивают
Past M,рассе́ивал
Past F,рассе́ивала
Past N,рассе́ивало
Past PL,рассе́ивали
Imp S,рассе́ивай
Imp PL,рассе́ивайте
