Infinitive,раски́нуться
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,раски́нувшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,раски́нувшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,раски́нусь
2nd Sing,раски́нешься
3rd Sing,раски́нется
1st Pl,раски́немся
2nd Pl,раски́нетесь
3rd Pl,раски́нутся
Past M,раски́нулся
Past F,раски́нулась
Past N,раски́нулось
Past PL,раски́нулись
Imp S,раски́нься
Imp PL,раски́ньтесь
