Infinitive,раскра́сить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,раскра́сивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,раскра́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,раскра́сив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,раскра́сивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,раскра́шу
2nd Sing,раскра́сишь
3rd Sing,раскра́сит
1st Pl,раскра́сим
2nd Pl,раскра́сите
3rd Pl,раскра́сят
Past M,раскра́сил
Past F,раскра́сила
Past N,раскра́сило
Past PL,раскра́сили
Imp S,раскра́сь
Imp PL,раскра́сьте
