Infinitive,раскла́ниваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,раскла́нивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,раскла́нивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,раскла́ниваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,раскла́нивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,раскла́ниваюсь
2nd Sing,раскла́ниваешься
3rd Sing,раскла́нивается
1st Pl,раскла́ниваемся
2nd Pl,раскла́ниваетесь
3rd Pl,раскла́ниваются
Past M,раскла́нивался
Past F,раскла́нивалась
Past N,раскла́нивалось
Past PL,раскла́нивались
Imp S,раскла́нивайся
Imp PL,раскла́нивайтесь
