Infinitive,распрода́ть
Zaliznyak Class,irreg-b/c[①]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,распрода́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,распро́данный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,распрода́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,распрода́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,распрода́м
2nd Sing,распрода́шь
3rd Sing,распрода́ст
1st Pl,распродади́м
2nd Pl,распродади́те
3rd Pl,распродаду́т
Past M,распро́дал
Past F,распродала́
Past N,распро́дало
Past PL,распро́дали
Imp S,распрода́й
Imp PL,распрода́йте
